itemno;title;description;gallay title;gallay description
430252;Pendant, Witch with stars, 9K Gold;This bewitched pendant is the right gift for charmed ladies. The detailed and well finished pendant has a matte-finished/shiny surface and front and back are identical. It's a great talisman for young and old! 9K Gold.;pendant witch with stars, 9K GOLD;both sides are identical
430254;pendant heart with 20 zirconias 9K GOLD;This delicate and sophisticated heart pendant is beautifully crafted with 20 zirconias and a beautiful design. It is suitable for any fancy occasion and will always be an eye catcher. 9K gold;pendant heart with 20 zirconias 9K GOLD;with 20 zirconias
430257;EARRINGS, TURTLES, ZIRCONIA, 9K GOLD;;earrings turtles with zirconia, 9K GOLD;small earrings, kids jewellery
430259;earrings big synth. bluetopaz, 8K GOLD;Just like real blue topaz, these large ear studs are a beautiful accessory. 8K gold;earrings big synth. bluetopaz, 8K GOLD;
430261;;;pendant cross with 12 zirconias 9K GOLD;with 12 zirconias
430264;hoop earrings diamond cut, 9K GOLD;A sophisticated pair of hoop earrings with a wonderful diamond cut.  This will be the eye-catcher on any fancy celebrity or even on daily occasional events. 9K gold;hoop earrings diamond cut, 9K GOLD;
430265;earrings zirconia square, 9K GOLD;A fancy pair of squared zirconia. Ear studs for beautiful accentuation. 9K gold;earrings zirconia square, 9K GOLD;
430267;pendant big synthetic topaz, 8K GOLD;A chic and sophisticated blue topaz pendant with a golden framing. Beautiful and suitable for any occasion. 8K gold;pendant big synthetic topaz, 8K GOLD;
430271;PENDANT, BEAR, CUBIC ZIRCONIA, 9K GOLD;;pendant bear with zirconia, 9K GOLD;
430272;;;pendant Saint Christopher, 9K GOLD;religious medal
430273;Pearl Earrings, 9K white GOLD;A very elegant and sophisticated pair of pearl earrings. A combination of white gold with an oval fresh water pearl.;earrings with pearl, 9K white GOLD;
430274;Pendant with Pearl, 9K White Gold;A sophisticated pendant, which has a wonderful shape that illustrates a leaf combination of three leaves on top of a freshwater pearl. A wonderful present for a very special person. The jewellery piece is perfect as bridal jewellery, but can also be a great accessory for fancy occasions or everyday life. 9K Gold.;pendant with pearl, 9K white GOLD;
430277;pendant open heart, 9K GOLD;This delicate and sophisticated heart pendant is beautifully crafted with a curved design. It is suitable for any occasion and will always be an eye catcher. 9K gold;pendant open heart, 9K GOLD;small pendant
430280;Stud Earrings, Triquetra, 9K Gold;The symbol of triquetra is a celtic mythology, which represents femininity. It symbolizes birth, life and death as the path of life. The modern magic even tells that the triquetra is a symbol of protection against the evil powers. 9K Gold.;earrings triquera, 9K GOLD;
430293;Pendant, Big Horse Head, 9K Gold;This detailed horse head pendant is fully formed of qualitative 9K Gold. It is a must for all horse lovers!;pendant, big horse head, 9K GOLD;
430295;earrings, horses, 9K GOLD;Elegantly simple horse ear studs for children or adults, for festivities or everyday life. 9K gold.;earrings, horses, 9K GOLD;kids jewellery
430296;Pendant, Small Horse, 9K Gold;Elegantly simple pendant for children or adults, for festivities or everyday life. Having a shiny golden surface and a sophisticated shape, this little horse is cute and beautiful at the same time. 9K gold;pendant, small horse, 9K GOLD;
430297;earrings box chain, zirconia, 9K GOLD;This is a beautiful pair of box chain earrings. They have a small zirconia (6 x 3,5 mm) on the end. They are elegant and sophisticated and suitable for any occasion. 9K Gold;earrings box chain, zirconia, 9K GOLD;thin chain with zirconia 6x3,5mm
430298;Navel/ Belly Bar, Zirconia Heart, 14K Gold;A chic belly bar. The ball is around 5 mm and the barbell has the measurements 9 mm x 1,2 mm. The gem is beautifully heart shaped and made of zirconia (6,3 x 6,3 mm). Sophisticated 14K gold!;navel-belly bar, zirconia-heart 14K GOLD;barbell about 9x1,2mm, ball about 5mm, zirconia-heart about 6.3x6.3mm
430300;earrings dolphins, 9K GOLD;A charming pair of dolphin ear studs for any occasion, formal or casual. 9K gold.;earrings dolphins, 9K GOLD;
430302;Ring for Baby's Christening, 9K GOLD;This is a wonderful ring for your child's christening. It is adorned with several zirconia elements, which are of high quality and carefully incorporated! 9K Gold.;ring for baby's christening, 9K GOLD;
430305;Stud Earrings, Bear with Zirconia, 9K Gold;This is a sophisticated pair of stud earrings featuring a little teddy bear. There is a zirconia element implemented on the bear's tummy and the pair of earrings would be perfect as a gift for a first day of school, a birthday or just as a little surprise in between. The backside is closed up and the surface is matte finished/ glossy.;earrings bear with zirconia, 9K GOLD;
430310;;;pendant round pearl, 9K GOLD;kultured freshwater pearl
430314;earrings pearl with CZ white, 9K GOLD;A stunningly beautiful pair of pearl ear studs with zirconia and 9K gold. An excellent complement for a glamorous dress.;earrings pearl with CZ white, 9K GOLD;
430317;;;earrings, 3 hanging ovals, 9 K Redgold;
430318;;;hoop earrings 17x3mm, 9K GOLD;
