itemno;title;description;abe-title;abe-description
00071;Pendant, Gemini, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Gemini pendant has a diameter of 20mm. The period of Gemini lies between 21 May and 21 June. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. You can find a perfect chain necklace in our gold plated chain section. The pendant is well finished and has a great quality.;Sternzeichen, Zwilling, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Zwilling -, Rückseite flach und glänzend mit kleiner Öse
00072;Pendant, Cancer, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Cancer pendant has a diameter of 20mm. The period of Cancer lies between 22 June and 22 July. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Krebs, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Krebs -, Rückseite flach und glänzend mit kleiner Öseemailliert
00073;;;Clip, Dreieck, bicolor, Email;-
00074;;;Sternzeichen, Löwe, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Löwe -, Rückseite flach und glänzend mit kleiner Öseemailliert
00077;necklace, beads, turquoise-olive;Fashionable and chic! This necklace is beaded on a black cord. The turquoise-olive colours are colour coordinated and the length can easily be adjusted by two movable knots. Suitable on a nice blouse or a shirt for fancy occasions or casual everyday life!;Kette, oliv-türkis-marmoriert glänzend;Collier mit hochwertigen sehr schön marmorierten Teilen in oliv-türkis-marmoriert, Mittelteil 27x23mm, Scheibe 23mm, Kordel 0,6mm oliv, längenverstellbar mittels Schiebeknoten
00079;necklace, heart lapis-marbled;This necklace is beautiful and stunning. It has a dark-blue-marbled heart pendant. The dark-blue cord is 4-fold and closed by a gold-plated, nickel-free clasp which has a small extension chain for easily adjusting the length.;Kette, Herz blau-marmoriert;Kunststoff-Herz, 49x39mm, lapiz-gold-marmoriert an 4-fach Kordel dunkelblau, Verschluss gold-farbig mit Verlängerungskettchen
00080;Pendant, Virgo, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Virgo pendant has a diameter of 20mm. The period of Virgo lies between 24 August and 23 September. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Jungfrau, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Jungfrau -, Rückseite flach und glänzend mit kleiner Öse
00081;necklace, glassbead, pink-grey;This necklace is beautifully designed with decorative pink (17x9 mm) and gray glass beads in different shapes. They are beaded on a two-fold, silver-coloured, synthetically covered wire. The silver-coloured clasp has a small extension chain for easily adjusting the length.;Kette, Glasperle rosa-grau, Draht;Collier mit dekorativen Glasperlen, Nugget 17x9mm rosa kombiniert mit farblich abgestimmten Perlen in grau, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00083;Pendant, Libra, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Libra pendant has a diameter of 20mm. The period of Libra lies between 24 September and 23 October. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Waage, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Waage -, Rückseite flach und glänzend mit kleiner Öse
00084;Pendant, Zodiac Sign, Scorpio, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Scorpio pendant has a diameter of 20mm. The period of Scorpio lies between 24 October and 22 November. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Skorpion, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Skorpion -, Rückseite flach und glänzend mit kleiner Öse
00086;Pendant, Zodiac Sign, Sagittarius, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Sagittarius pendant has a diameter of 20mm. The period of Sagittarius lies between 23 November and 21 December. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Schütze, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Schütze -, Rückseite flach und glänzend mit kleiner Öse
00087;necklace, green and black beads;A beautiful necklace with different decorative green and black beads. The length can be adjusted. Very fashionable and chic!;Kette, Fadenperle grün-schwarz, Kordel;modisches Collier im aktuell sattem grünton, Kunststoff-Perle grün mit aufgespritzten Fäden in schwarz, kombiniert mit verschiedenen Kunststoff-Perlen in schwarz, 2-fach Kordel 0,6mm schwarz, längenverstellbar mittels Schiebeknoten
00089;Necklace, Green/ Transparent, Silver Coloured;This necklace is a wonderful jewellery piece, composed of green and green transparent beads as well as some silver-coloured ring/ bead elements. The twofold green cord is 1mm thin. The necklace is handmade and designed in Germany.;Kette, grün-transparent, silber-farbig;dekoratives Collier mit veschiedenen Kunststoffperlen in grün-transparent und  grün-marmoriert, kombiniert mit ausgefallenen Perlen in silber-farbig, Kordel 1mm grün
00092;;;Kette, mint-altsilber;Collier mit verschiedenen Kunststoffperlen in mint-tönen, kombiniert mit dekorativen Perlen in altsilber-farbig, 2-fach Kordel 0,6mm mintgrün, längenverstellbar mittels Schiebeknoten
00093;necklace, lilac, silky shining, marbled;A chic necklace with fashionable colours, lilac-white marbled quadrangular plasic beads (23x16mm) combined with silky lilac beads. The silver coloured wire-cord is two-folded and synthetically coated. The silver-coloured clasp can be easily adjusted.;Kette, Viereck flieder-weiß-marmoriert;Collier in aktueller Frühlingsfarbe flieder-weiß-marmoriert, Kunststoffteile 23x16mm, kombiniert mit Kunststoffperlen  in flieder-seidig, 2-fach Draht silber-farbig kunststoffummantelt, Verschluss si-farbig mit Verlängerungscollier
00093a;;;Armband, Glasperlen, orange-braun-beige;Gummi
00095;Necklace, Flat Tube Pendant, Ochre/ Light Brown;Classic and simple is this necklace with a light brown marbled flat curved tube bead (54x19 cm). The six-fold dark red cord matches perfectly and makes the necklace appear stunning and eye-catching!The nickel-free clasp is silver-coloured and has an small extension chain (ca. 5cm) for adjusting the length.;Kette, Rohr flach, ocker-hellbraun;zeitloses Collier mit Kunststoff-Teil 54x19mm ocker-marmoriert, jedes Teil ein Unikat!, 6-fach Kordel 1,0mm mittelbraun, Verschluss verchromt mit Verlängerungskettchen
00096;Necklace, Dark Red/ Black/ White;This is a large pendant, which has a diameter of 52mm and a red/black/marbled colour. It is combined with a 6 fold cord, where each cord is approximately 1mm thick. The cord is as well dark red coloured The clasp is silver coloured and has a small extension chain for easily adjusting the length. The necklace is handmade in Germany.;Kette, Amulett, rot-schwarz-weiß;Kunststoff-Amulett, 52mm, rot-schwarz-marmoriert teilweise mit leicht weißem Einzug, an 6-fach 1mm Kordel dunkelrot, Verschluss silber-farbig mit Verlängerungskettchen
