itemno;title;description;gallay-title;gallay-description
02186;;Schickes Collier mit 6mm Kunststoffperlen weiß, 50cm lang, passendes Accessoires für Sommer und Winter, Verschluss silber-farbig mit Verlängerungskettchen und kleiner Perle als Abschluss;Kette, Perle, 6mm, weiß-glänzend, 50cm;-
02189;;Collier passend zur Sommer und Wintermode, dekorative Kunststoffperle in Kieselform, rot-transparent und innen silber verspiegelt, auf 4-fach Kordel rot, Verschluss silber-farbig mit Verlängerungskettchen;Kette, Steinperle rot-transparent;kleine Ringe silberfarbig als Zwischenteile, gefädelte Teile aus Kunststoff, 4-fach Kordel rot
02190;;Hochwertige Perlenkette aus Kunststoffperlen und langen Olivenperlen rot-schwarz-marmoriert zu einem interessanten Muster kombiniert, Verschluss silberfarbig, dekoratives Collier mit Kunststoffperlen, eine Seite 8mm Perle schwarz-glänzend und eine Seite 8mm Perle weiß-glänzend, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Olive, rot-schwarz-marmor;Verschluss silberfarbig
02191;;sommerliches Collier mit 8mm Kunststoff-Perle gelb-glänzend, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Perle 8mm, gelb-glänzend, 45cm;sommerliches Collier mit 8mm Kunststoff-Perle gelb-glänzend, Verschluss gold-farbig mit Verlängerungskettchen
02192;;zeitloses Collier für die modebewusste Dame, dekorative Kunststoffperlen rot-schwarz-marmoriert glänzend in verschiedenen Formen kombiniert, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, Olivenperle rot-schwarz-marmor;Collier mit dekorativen Kunststoffperlen rot-schwarz-marmoriert glänzend, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss
02194;;zeitloses Collier mit Kunststoffperlen weiß-matt und weiß mit schwarzen Spritzern, an 2-fach Kordel schwarz, in Deutschland gefertigte Handarbeit;Kette, Fadenperle weiß-schwarz;Collier mit doppelt Kordel schwarz, Kunststoffperlen weiß-matt und weiß mit schwarzen Farbauflagen
02196;;sommerliches Collier mit verschiedenen Kunststoff-Perlen himbeer-matt, kombiniert mit Kunststoff-Perlen goldfarbig überzogen, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Perle, himbeer-matt;Collier mit verschiedenen Kunststoff-Perlen himbeer-matt, kombiniert mit Kunststoff-Perlen goldfarbig überzogen, Verschluss gold-farbig mit Verlängerungskettchen
02197;;Jetzt wird es PINK! Trendiges Collier mit verschiedenen Kunststoff-Perlen himbeer-pink-matt kombiniert mit Kunststoff-Perlen goldfarbig überzogen. Der vergoldete Verschluss bietet mit dem Verlängerungskettchen verschiedene Tragevariationen. Der Schmuck wird traditionell in unserer eigenen Herstellung gefertigt.;Kette, Perle, himbeer-matt;Collier mit verschiedenen Kunststoff-Perlen himbeer-matt, kombiniert mit Kunststoff-Perlen goldfarbig überzogen, Verschluss gold-farbig mit Verlängerungskettchen
02200;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm horm-marmoriert-matt, durch verschiedene Farbdetails jedes Teil ein Unikat! an 2-fach Kordel 1mm beige und 1-fach 3mm beige, Verschluss vergoldet mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen horn-marmor;zeitloses Collier mit Kunststoff-Teil 54x19mm horn-marmoriert-matt, 2-fach Kordel 1,0mm beige und 1-fach Kordel 3mm, jedes Teil ein Unikat! Verschluss vergoldet mit Verlängerungskettchen
02202;;Collier mit kleinem Elefant aus Kunststoff, 38x28mm, silbergrau-glänzend an 2-fach Kordel grau, Verschluss silber-farbig mit Verlängerungskettchen, Der Elefant symbolisiert Weisheit, Klugheit, Geduld, Stärke, Güte und Hingabe. Er gilt außerdem als Glücksbringer für Liebende und verheißt eheliches Glück aufgrund seines sehr treuen Wesens.;Kette, Elefant, grau-seide;Elefant aus Kunststoff, 38x28mm, silbergrau-glänzend an 2-fach Kordel grau, Verschluss silber-farbig mit Verlängerungskettchen
