itemno;title;description;gallay-title;gallay-description
70638;;Diese hochwertig gearbeitete Nachbildung einer Rose mit vielen filigranen Details ist die Zierde jeder festlich gedeckten Tafel und macht sie zu etwas ganz Besonderem. Die 5 Blütenblätter in einem zarten Rosè-Ton sind aus Glas-Steinen, gefärbt und emailliert. Die Oberfläche vom Stiel und Blättern ist versilbert. Mit dieser nie verwelkenden Rose kann ein Mann auch gern seine Herzensdame überraschen!;Rose mit Stiel, versilberte Blätter;Blüte emaliert, 5 Blütenblätter aus Glas-Steinen, festliche Tafeldekoration
70639;;Eingerahmt von 8 kleinen HÜNDCHEN kommt Ihr Foto erst richtig zur Geltung. Dieser dekorative Glas-Bilderrahmen ist für Fotos im Format 9x13mm geeignet, auf der Rückseite befindet sich eine Vorrichtung zum Aufstellen und eine kleine Schatulle zum bequemen Einschieben des Fotos.;Bilderrahmen, Hund;passend für Foto 9x13
70640;;Allerliebst ist dieses kleine Kätzchen und man möchte gleich mit ihm spielen. Der Körper ist geschmückt mit 2 großen geschliffenen Glas-Kristallen die herrlich in der Sonne funkeln. Die Augen, die ein bischen verschmitzt drein schauen sind 2 kleine Glas-Kristalle die fast so funkeln wie bei einer echten Katze. Die Oberfläche ist gold-plattiert. Ein absolutes MUST-HAVE für jeden Katzen-Liebhaber!;Katze mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70641;;Dieser kleine kuglige Elefant ähnlich einer Kinderfigur zaubert automatisch ein Lächeln auf Ihr Gesicht! Der Elefante hat zwei große geschliffene Glas-Kristalle seitlich am Körper, die in allen Regenbogenfarben in der Sonne funkeln. Die Augen bilden zwei kleine geschliffene Glas-Kristalle. Die Oberfläche ist hochwertig gold-plattiert. Der Elefant symbolisiert Weisheit, Klugheit, Geduld, Stärke, Güte und Hingabe. Eine exclusive Dekoration für eine festlich gedeckte Tafel und ein begehrtes Sammlerobjekt!;Kleiner Elefant, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70643;;;Ballerina, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70644;;Exclusive Nachbildung eines Einhorn mit Flügeln mit 4 großen geschliffenen Glas-Kristallen, die dezent im Licht funkeln. Die Oberfläche ist gold-plattiert. Eine wunderschöne Zierde einer festlich gedeckten Tafel und ein begehrtes Sammlerobjekt! Das Einhorn gilt weithin als Symbol für Glück und das Gute.;Einhorn, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70645;;;Tischdekoration, Hase, Glas kristall;-
70646;;;Tischdekoration, Hund, Glas kristall;-
70647;;;Tischdekoration, Bär, Glas kristall AB;AB: Aurore Boréale, Spiegeleffekt
70648;;;Tischdekoration, Igeltier Glas kristall;-
70649;;;Tischdekoration, Vogel, Glas kristall;-
70650;;;Pyramide, gerillt, Farbe wählbar;schwarz, amethyst
70651;;;Pyramide, Glas, Gravur Tennisspieler;-
deko078;;;Eisberg, Glas kristall AB;Unterseite hohl, AB: Aurore Boréale, Spiegeleffekt
deko079;;;Halbkugel, Glas, mit Eisberg;Unterseite hohl
