itemno;title;description;gallay title;gallay description
430104;;kleine Brosche als dezentes Accessoires für die modische DAME, die Oberfläche ist wunderschön diamantiert, feinste Juwelierqualität, 333er Gold (8 Karat);Brosche, Blatt diam, 8Kt GOLD;diamantiert
430105;;filigrane Nachbildung eines Ginkgo-Blattes aus 333er Gold, 8 Karat, Oberfläche glänzend. Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.;Stecker, 9mm Ginkgoblatt glzd, 8Kt GOLD;-
430106;;Detailgetreue Nachbildung eines kleinen Ginkgo-Blattes aus 375er Gold (9 Karat), Oberfläche glänzend, auf der Rückseite eine kleine Öse zum Durchziehen einer dünnen Kette. Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.;Anhänger, 9mm Ginkgoblatt glzd 9Kt GOLD;sehr kleiner Anhänger
430108;;filigran gearbeiteter Anhänger Kreuz aus 375er Gold (9 Karat), Oberfläche matt mit Diamantschliff;Anhänger, Kreuz matt-diam, 9Kt GOLD;mit Öse, Vorderseite gleich Rückseite - mattiert und diamantiert
430110;;Detailgetreue Nachbildung eines Ginkgo-Blattes, die Oberfläche ist glänzend.-Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.-;Anhänger, 12mm Ginkgoblatt 8Kt GOLD;glänzend
430111;;;Creole, 11mm, glänzend, 9Kt GOLD;kleine Creolen
430115;;;Creole, 15mm, glänzend, 9Kt GOLD;-
430118;;filigrane Nachbildung eines Ginkgo-Blattes aus 333er Gold, 8 Karat, Oberfläche matt. Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.;Stecker, 12mm Ginkgoblatt matt 8Kt GOLD;-
430119;;;Anhänger, Kreuz diamantiert, 9Kt GOLD;Rückseite glatt, glänzend, diamantiert
430135;;zeitloser Anhänger 375er Gold (9 Karat) mit Wachsperle Imitat in Tropfenform;Anhänger, Wachsperle Imitat, 9Kt GOLD;-
430136;;hochwertig gearbeiteter Ohrstecker Schildkröte aus 375er Gold, 9 Karat, Vorderseite filigran ausgearbeitet, Rückseite verbödet, Die Schildkröte ist vor allem in asiatischen Ländern Sinnbild für Langlebigkeit, Ausdauer und Stärke.;Stecker, Schildkröte, 9Kt GOLD;verbödet (Rückseite glatt geschlossen), diamantiert
430139;;Zuckersüßer Ohrstecker Marienkäfer, das modische I-Tüpfelchen für kleine Mädchen! aus 375er Gold (9 Karat), verbödet, emailliert;Stecker, Marienkäfer, 9Kt GOLD;verbödet (Unterseite geschlossen)
430141;;Das Glück der Erde liegt auf dem Rücken der Pferde! Dieser filigran gearbeitete Goldstecker Pferdekopf, 375er oder 9 Karat Gold, ist ein MUSS für Pferdeliebhaber!;Stecker, kleiner Pferdekopf 9Kt GOLD;glänzend-diamantiert, verbödet (Rückseite glatt geschlossen)
430142;;filigraner Ohrstecker, kleines Blättchen, 375er Gold (9 Karat), ein tolles Schmuckstück für jeden Tag.;Stecker, kleines Blättchen, 9Kt GOLD;-
430143;;kleine Brosche als dezentes Accessoires für die modische DAME, die Oberfläche ist wunderschön diamantiert, feinste Juwelierqualität, 333er Gold (8 Karat);Brosche, Blatt diam, 8Kt GOLD;diamantiert
430146;;Detailgetreue Nachbildung eines 25mm Ginkgo-Blattes, die Oberfläche ist glänzend, an der Rückseite ist eine Öse zum Durchziehen der Kette angelötet -Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.-;Anhänger, 25mm Ginkgoblatt, 9Kt GOLD;glänzend, Pressung
430149;;filigran gearbeiteter Ohrstecker mit sternenförmigem Granat, 375er Gold (9 Karat), Ein Schmuckstück für jede Gelegenheit.;Stecker, synthetischer Granat, 9Kt GOLD;Sternform
430156;;Detailgetreue Nachbildung eines 30mm Ginkgo-Blattes, die Oberfläche ist glänzend.-Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm die Erfüllung ihrer Wünsche.-;Brosche, 30mm Ginkgoblatt, 9Kt GOLD;-
430159;;Wunderschöne Klappcreole, streifig matt und glänzend, 375er Gold ( Karat), ein tolles Schmuckstück für jede Gelegenheit.;Creole, 12mm matt-glänzend, 9Kt GOLD;mit Klappscharnier, stabile Verarbeitung
430161;;Das Glück der Erde liegt auf dem Rücken der Pferde! Dieser filigran gearbeitete Goldstecker Pferdekopf, 375er oder 9 Karat Gold, ist ein MUSS für Pferdeliebhaber!;Stecker, ca. 7mm Pferdekopf, 9kt GOLD;-
430166;;feiner bicolor Anhänger aus 333er Gold (8 Karat) teilweise rhodiniert mit kleinen Zirkonia, besonders dekorativ mit schmaler Schlangenkette;Anhänger, Spitze, bicolor, CZ, 8Kt GOLD;bicolor mit Zirkonia
430167;;feiner bicolor Anhänger aus 333er Gold (8 Karat) teilweise rhodiniert mit kleinen Zirkonia, besonders dekorativ mit schmaler Schlangenkette;Anhänger, Schlaufe, bicolor, CZ, 8Kt;bicolor mit Zirkonia
430168;;sehr feiner und gleichzeitig ausgefallener Ohrschmuck Durchzieher mit dünnem Panzer-Kettchen am Ende mit kleinem 3,6mm Zirkonia weiß, Gesamtlänge 51mm;Durchzieher, Kettchen Zirkonia 9Kt GOLD;Gesamtlänge 51mm, Zirkonia 3,6mm
430169;;Ein tolles Geschenk für einen lieben Menschen! Anhänger 375er Gold (9 Karat) chinesisches Zeichen für Liebe;Anhänger, chinesisch, Liebe, 9Kt GOLD;chinesisches Zeichen für Liebe
430172;;;Stecker kleine Blume Zirkonia, 9Kt GOLD;Strass-Blume
430175;;;Anhänger, Blume, Zirkonia, 9Kt GOLD;-
430180;;detailgetreu nachgebildetes Ahornblatt, teilweise diamantiert, 375er Gold (9 Karat), Ein modisches I-Tüpfelchen.;Stecker, Ahornblatt diamantiert 9Kt GOLD;-
430183;;;Stecker, Zuchtperle, Zirkonia, 9Kt GOLD;Süßwasserzuchtperle 5,7mm und Zirkonia
430184;;Wunderschöner Ohrstecker in bester Juwelierqualität, weißer Zirkonia und synthetischer Rubin sind ähnlich einer Blume angeordnet, 375er Gold (9 Karat);Stecker, Zirkonia mit synth. Rubin 9Kt;Zirkonia und synthetischer Rubin
430185;;;Stecker, Schmetterling Zirkonia 9Kt GOLD;-
430190;;;Anhänger, Kleeblatt, 9Kt GOLD;-
430210;;filigraner Ohrstecker mit 3mm Zirkonia gefaßt, 375er oder 9 Karat Gold, auch für zweites oder drittes Ohrpiercing geeignet;Stecker, ca. 3mm Zirkonia, 9Kt GOLD;Zirkonia gefaßt, ca. 3mm
430216;;;Stecker, Zirkonia, 2 Kreise, 9Kt GOLD;-
430217;;Das Glück der Erde liegt auf dem Rücken der Pferde! Dieser filigran gearbeitete Ohrstecker springendes Pferd aus 375er Gold, 9 Karat, ist wunderschön plastisch gearbeitet, die Rückseite ist verbödet. Ein tolles Geschenk für kleine und große Pferdenärrinen.;Stecker, Pferde rechts-links, 9Kt GOLD;verbödet (Rückseite glatt geschlossen)
430218;;;Stecker, Halbcreole, Zirkonia, 9Kt GOLD;-
430221;;hochwertig gearbeitetes Schmuckstück in zeitlosem Design, Anhänger aus 375 Gold, 9 Karat mit wunderschönem Netzmuster, Rand diamantiert, Ein tolles Geschenk zur Taufe, Kommunion oder Konfimation!;Anhänger, Kreuz diamantiert, 9Kt GOLD;diamantiert
430223;;hochwertig verarbeiteter Anhänger Kruzifix, das Kreuz ist aus 375er Gelbgold (9 Karat), Jesus und Inschrift rhodiniert; Ein besonderer Eyecatcher als Ausdruck tiefster Religiösität.;Anhänger, Jesuskreuz bicolor, 9Kt GOLD;Jesusfigur rhodiniert
430225;;Creole mit Bügelverschluss, glänzend und mit springendem Delfin matt, 375er Gold (9 Karat) ein tolles Schmuckstück nicht nur für Delfinliebhaber.;Creole, Delfin, glänzend-matt 9Kt GOLD;Creole ist glänzend, Delfin matt
430226;;wunderschön gearbeitete Klappcreole, matt und der Rand ist diamantiert, 375er Gold (9 Karat), ein tolles Schmuckstück für jede Gelegenheit.;Creole, 14mm matt-diamantiert 9Kt GOLD;Scharniercreole, diamantiert
430229;;Das Glück der Erde liegt auf dem Rücken der Pferde! Der Herzanhänger, 16mm, bildet einen Rahmen für einen detailgetreu gearbeiteten Pferdeanhänger aus  375er oder 9 Karat Gold, ein MUSS für Pferdeliebhaber!;Anhänger, Herz mit Pferd 9Kt GOLD;Pferd frei hängend, glänzend
430230;;sehr schöner Anhänger in feinster Juwelierqualität, 375er Gold (9 Karat), das Herz bildet den Rahmen für einen springenden Delfin, ein perfektes Geschenk nicht nur für Delfinliebhaber;Anhänger, Herz mit Delfin 9Kt GOLD;Delfin frei hängend, glänzend
430233;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleiner Sternschnuppe und Spirale aus 750er Gold (18 Karat);Nasenstecker, Sternschnuppe Spirale 18Kt;glänzend
430235;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleiner Mondsichel und Spirale aus 750er Gold (18 Karat);Nasenstecker, Mondsichel m Spirale 18Kt;glänzend
430236;;putzige kleine Kätzchen für kleine und große Katzenfreunde, Oberfläche leicht gehämmert matt, 375er Gold (9 Karat);Stecker, Katze, glänzend/matt, 9Kt GOLD;-
430237;;Wunderschöner kleiner Anhänger Elefant, das modische I-Tüpfelchen für kleine Mädchen! Der Elefant als Glücksbringer symbolisiert Glück und Kraft. Anhänger aus 375er Gold (9 Karat) mit winzigem Zirkonia, 4,2x7mm mit Ringl, Oberfläche glänzend und matt;Anhänger, kleiner Elefant, 9Kt GOLD;mit Zirkonia, glänzend-matt
430238;;putziger kleiner Anhänger Kätzchen, Oberfläche matt, 333er Gold (8 Karat), Ein tolles Geschenk für kleine Mädchen!;Anhänger, Katze, glänzend/matt, 8Kt GOLD;-
430241;;Zuckersüßer Ohrstecker Bärchen, das modische I-Tüpfelchen für kleine Mädchen und Bärchenliebhaber! aus 333er Gold (8 Karat), Oberfläche leicht gehämmert und matt;Stecker, Bärchen glänzend/matt, 8Kt;-
430246;;Verschenken Sie doch einmal Ihr Herz! wunderschön gearbeiteter Herzanhänger, bicolor aus 375er Gelbgold (9 Karat), feinste Juwelierqualität, mit 5 Zirkonia besetzt;Anhänger, Herz bicolor, Zirkonia, 9Kt;5x Zirkonia
430249;;kleiner Herzanhänger für ein ganz persönliches Geschenk, 10x8mm, aus 375er Gold (9 Karat);Anhänger, kleines Herz, offen, 9Kt GOLD;-
430251;;;Anhänger, Pferd mit Flügel, 9Kt GOLD;zweifarbig, Flügel rhodiniert und diamantiert
430252;;putziger Goldanhänger Hexe mit Besen, der Umhang der Hexe ist matt mit kleinen Sternchen diamantiert, Rückseite wie Vorderseite, Ein tolles Schmuckstück für kleine und große Hexenliebhaber, nicht zur zur Walpurgisnacht!;Anhänger, Hexe matt-glänzend, 9Kt GOLD;Umhang der Hexe in matt mit kleinen Sternchen diamantiert, Rückseite wie Vorderseite
430254;;Wunderschöner, sehr dekorativer Herzanhänger aus 375er Gold (9 Karat), mit 20 Zirkonia besetzt. Ein besonderes Geschenk für einen lieben Menschen!;Anhänger, Herz offen, 20x Zirkonia, 9Kt;20x Zirkonia
430257;;Zuckersüßer Ohrstecker Schildkröte, das modische I-Tüpfelchen für kleine Mädchen und Schildkröten-Liebhaber! aus 375er Gold (9 Karat) mit kleinem Zirkonia, Oberfläche matt;Stecker, Schildkröte Zirkonia, 9Kt GOLD;matt-glänzend
430259;;Wunderschön gearbeiteter Ohrstecker mit 10mm synthetischem Blautopas, 333er Gold (8 Karat), Ein passendes Schmuckstück zur angesagten Jeansmode!;Stecker, synthetisch Blautopas, 8Kt GOLD;synthetischer Blautopas
430261;;;Anhänger, Kreuz 12x Zirkonia, 9Kt GOLD;leicht geschwungene Form, 12x Zirkonia
430264;;Ein wunderschöner Eyecatcher für die anspruchsvolle Trägerin! Filigran gearbeitete Creole mit Steckverschluss, beidseitig diamantiert, 9 Karat Gold, auch für 2. und 3. Ohrpiercing geeignet;Creole, 17mm, diamantiert 9Kt GOLD;diamantiert
430265;;dieser zierliche Ohrstecker ist passend für jede Gelegenheit, auch als 2. oder 3. Ohrpiercing zu tragen, Viereck mit Zirkonia, 375er Gold (9 Karat);Stecker, Viereck mit Zirkonia 9Kt GOLD;Zirkonia
430267;;wunderschöner Anhänger aus 333er Gold (8 Karat) mit synthetischen Blautopas, Ein besonderes Geschenk für eine modische DAME!;Anhänger, synthetisch Blautopas, 8Kt;synthetischer Blautopas
430271;;Putziger kleiner Teddybär, das modische I-Tüpfelchen für kleine Mädchen! 375er Gold (9 Karat) mit kleinem Zirkonia, matt-glänzend;Anhänger, Bärchen mit Zirkonia 9Kt GOLD;matt-glänzend, Zirkonia
430272;;;Anhänger, Christophorus 17mm, 9Kt GOLD;religöse Medaille, Schutzpatron der Reisenden, Rand diamantiert
430273;;hochwertig gearbeiteter Ohrstecker aus 375er Weißgold, 9 Karat, an einer Blattkombination hängt eine ovale Süßwasserzuchtperle, Ein wunderschönes Geschenk für einen ganz besonderen Menschen! Dieses Schmuckstück macht auch das Outfit einer Braut komplett!;Stecker, Hänger Perle, 9Kt Weißgold;ein schönes Paar Perlohrstecker in Weißgold mit ovaler Süßwasserzuchtperle
430274;;hochwertig gearbeiteter Anhänger aus 375er Weißgold, 9 Karat, an einer Blattkombination hängt eine ovale Süßwasserzuchtperle, Ein wunderschönes Geschenk für einen ganz besonderen Menschen! Dieses Schmuckstück macht auch das Outfit einer Braut komplett!;Anhänger, mit Perle, Weißgold, 9Kt GOLD;ein schöner Kettenanhänger in Weißgold mit ovaler Süßwasserzuchtperle
430277;;Veschenken Sie doch einmal Ihr Herz! offener Herzanhänger in feinster Juwelierqualität ohne Öse aus 375er Gold (9 Karat), besonders geeignet zum Durchziehen von schmalen Schlangenketten;Anhänger, Herz offen glänzend 9Kt GOLD;geeignet zum Durchziehen von schmalen Schlangenketten
430280;Stecker, Triquetra, 9Kt GOLD;Das Symbol der Triquetra ist in der keltischen Mythologie der Weiblichkeit zugeordnet. Es steht, ähnlich wie das verwandte Triskell, für die Einheit von Geburt, Leben und Tod als Weg des Lebens.In der modernen Magie wird es als Schutzsymbol gegen Böse Mächte angesehen.;Stecker, Triquetra, 9Kt GOLD;-
430293;;Das Glück der Erde liegt auf dem Rücken der Pferde! Detailgetreu gearbeiteter Pferdekopf, vollplastisch, 375er oder 9 Karat Gold, ein MUSS für Pferdeliebhaber!;Anhänger, Pferdekopf glänzend 9Kt GOLD;-
430295;;Das Glück der Erde liegt auf dem Rücken der Pferde! Wunderschöner Stecker nicht nur für Pferdeliebhaber! Die Oberfläche ist glänzend, 375er oder 9 Karat Gold;Stecker, Pferde, 9Kt GOLD;-
430296;;Das Glück der Erde liegt auf dem Rücken der Pferde! detailgetreu gearbeiteter Goldanhänger Pferd, vollplastisch, 375er oder 9 Karat Gold, ist ein MUSS für Pferdeliebhaber!;Anhänger, Pferd, 9Kt GOLD;-
430297;;Durchzieher mit Venezianer und kleinem Zirkonia 6x3,5mm, 375er Gold (9 Karat), Ein besonderes Stück für die modebewusste DAME.;Durchzieher, Kette m. Zirkonia 9Kt GOLD;Venezianerkettchen, Zirkonia 6x3,5mm
430298;;Wunderschöner Piercingschmuck für den Bauchnabel, ein Zirkonia-Herz ca. 6,3x6,3mm groß und die Kugel ca. 5mm, Steglänge ca. 9mm, Stegstärke ca. 1,2mm. Ein dezentes und edles Schmuckstück für modemutige Trägerinnen.;Piercing Banana Zirkonia-Herz 14Kt GOLD;Zirkonia-Herz ca. 6,3x6,3mm, Kugel ca. 5mm, Steglänge ca. 9mm, Stegstärke ca. 1,2mm
